产科	Obstetrics
中医科	Traditional Chinese Medicine (TCM)/TCM
自行车停放处	Bicycle Parking
病理会诊	Pathology Consultation
零担货运站	LTL (Less-Than-Truckload) Cargo Services
痴呆门诊	Dementia Clinic
天河体育中心	Guangzhou Tianhe Sports Center Stadium
桥出口	Bridge Exit
内科病房	Internal Medicine Ward
请勿在浮排停留	Do Not Stay on Pontoon
女配饰/女士饰品	Women’s Accessories
肺功能室	Pulmonary Function Testing
门诊注射输液室	Injection & Transfusion
中医骨病治疗科	TCM Orthopaedics Treatment
强电竖井	Vertical Duct for High Voltage
演艺	Performance Art
女性尿失禁防治中心	Female Incontinence Prevention and Treatment Center
心脏超声室	Echocardiography
一级文物	Class One Cultural Heritage
擦鞋机	Electric Shoe Polisher
维修员	Maintenance Technician
中国画	Chinese Paintings
收费站	Toll Gate
纯水站	Purified Water Station
二楼定额	人 Passenger Capacity on F2: xxx
空气浴	Air Spa
广播	Broadcasting
库房	Storage Room
展架	Display Rack
图书馆	Library
普通外科门诊	General Surgery Clinic
大型车道	Oversize Vehicle Lane
dvd	专区 DVDs
租赁汽车须知/租用告之	Car Rental Notice
前廊	Front Aisle
公交站	Bus Station
驱铅门诊	Lead Removal Clinic
花木共赏	严禁采摘 Please Do Not Pick Flowers!
紧急呼救电话	Emergency SOS Phone
复建文物建筑	Restored Heritage Buildings
袜子	Socks
儿科预检室	Pediatric Pre-Examination
中庭	Middle Stall
手术恢复室	Postoperative Recovery Room
公共广播系统	Public Address System (PA System)
仲裁服务大厅	Arbitration Service Center
展柜	Showcase
彩弹野战	Paintball War Game
城市建设展览	Urban Development Exhibition
环节质控组	In-Process QC Group
健身中心	Fitness Center
应急物资储备室	Emergency Reserve
儿童纤维支气管内镜诊断治疗中心	Pediatric Bronchoscopy Center
医技楼	Medical Technology Building
发票联	Invoice
骨肿瘤门诊	Bone Tumor Clinic
宫颈疾病诊治中心	Cervical Diseases Diagnosis & Treatment Center
索引	Indexes
微量元素检测	Trace Elements Detection
网络通信	Network Communications
物流园区	Logistics Park
超声分诊室	Ultrasonography Reception
抑郁症诊室	Depression Clinic
自动充值机	Top up Machine
24	小时自助服务点 24-Hour Self Service
绿化整顿中	Planting in Progress
体采科	Physical Examination & Blood Collection
新闻	Journalism
标本登记处	Specimen Registration
工艺美术品	Arts & Crafts
副庭长室	Associate Chief Judge’s Office
坐厕	Sitting Toilets
pt950	戒指 PT950 Ring
番禺市桥汽车站	Panyu Shiqiao Bus Station
市级文物保护单位	Municipal Cultural Heritage Site
大客车专用出口	Coach Exit
体疗厅	Physical Therapy
书法培训室	Calligraphy Learning
被申请人	Respondent
病房楼	Inpatient Building
副院长办公室	Deputy President of Commission
百货	Supermarket
月牙湖站点	Crescent Moon Lake Station
电子阅览室	Digital Reading Room
营业厅	Service Hall
骨外科	Orthopaedic Surgery
干海产品	Dried Seafood
领带	Ties
地面交通系统图	Ground Traffic System Plan
特价图书	Discounted Books
摄像室	Photo Studio
不得乱刻乱画。	Do Not graffiti in toilets.
广场（珠江新城）	Square (Zhujiang New Town)
火山博物馆	Volcanic Museum
快餐	Fast Food
骨科有菌换药室	Orthopaedic Non-Sterile Dressing
总务处	General Office
微信公众号	WeChat Account
请勿倚靠	No Leaning
观堂	Taoist Temple
单位	Company
食品超市	Supermarket
天文馆	Science & Planetarium Centre
31-56	检票口 Checkin Counter No.31–56
北出口（x）	North Exit X
试衣间	Fitting Room
旅游度假区	Tourism Resort
由此上楼	Upstairs
花卉	Flowers & Plants
志愿者服务中心	Volunteer Service Center
主任室	Director’s Office
广州塔码头	Canton Tower Wharf
参谋处、绘图室	Staff Division; Drafting Office
华商报广州办事处旧址	Former Site of the Representative Office of Hwa Shiang Pao Newspaper
科学类	Science
清洁区	Clean Zone
精品腕表	Luxury Watches
中医气管炎门诊	TCM Tracheitis Clinic
手外科急诊	Emergency Hand Surgery
儿童救生衣	Life Jacket for Children
凤鸣桥	Fengming Bridge
女体检室	Physical Examination (Women)
护理部	Nursing
肾脏门诊	Nephrology Clinic
花都区政府	Huadu District Government
艺术类	Arts
仪器仪表	Instruments & Apparatuses
夹层示意图	Mezzanine Map
摄影记者区	Photo Zone
神经行为室	Neural Behavior Lab
营运证	License
东、西、南、北	East, West, South, North
精神卫生咨询室	Mental Health Counseling
序厅	Lobby
文化石	Art Stone
瞬时承载量	515 人 Maximum Visitor Capacity: 515
生活百科	Household Encyclopedia
观景长廊	Sightseeing Gallery
精品店	Boutique Shop
消防箱	Fire Hydrant
照相室	Photography Room
影城入口	ENTRANCE
少年宫	Children’s Palace
场馆服务中心	Service Centre
园	Park
非开放区域，游客止步	No Entry
婚纱摄影室	Wedding Photograph Studio
巡检	On-Site Inspection
应急检票通道/门	Emergency Check-in Lane
货运枢纽	Cargo Terminal
急诊观察室	Observation
急诊留观室	A&E Observation
棋院	Chess Institute
手信	Souvenir
青年山庄站点	Youth Villa Station
羊城通	YCT SERVICES
司法鉴定科	Judicial Authentication
表演区	Performance Area
风湿病门诊	Rheumatism Clinic
人行隧道	Pedestrian Underpass
导游服务/讲解服务	Tour Guide Service
电动游览车	Electric Sightseeing Car
专题陈列展厅	Special Exhibition Room
电脑训练治疗室	Computer Training Therapy
自动扶梯/扶梯	Escalator
航班	Schedule
古代家具	Antique Furniture
羽绒服	Down Jackets
暂停服务	Temporarily Closed
廖承志举办新闻界招待会旧址	Former Site of Liao Chengzhi’s Press Briefing
综合科	Integrated Dept.
放射介入治疗室	Interventional Radiotherapy
实验区	Experiment Area
小心防滑，上落梯注意安全	CAUTION! Slippery Steps
遗传咨询室	Genetic Counseling
职业卫生所	Occupational Disease Clinic
畜牧业	Animal Husbandry
妇幼健康教育中心	Maternal and Child Health Education Center
结算	Settlement
验光室/验光配镜室	Optometry Room
五山站	Wushan Station
注意上落安全	Watch Out Embarking/Disembarking!
咖啡店/咖啡厅	Coffee Shop/Cafe
餐饮服务部	Food & Beverages
一楼单号侧区	Stall Odd Numbers
大型活动保障中心	Events Support Center
湖滨木栈道	Lakeside Plank Path
请关闭通讯工具	Please Turn Off Cellphones
畅销书/热卖	Bestsellers
起搏室	Cardiac Pacemaker
彩妆	Cosmetics
教育处/教育中心	Education Dept./Education Center
换乘	Transfer
免费项目	Charge Free Items
创伤骨科专家门诊	Traumatic Orthopaedic Specialist Clinic
眼	B 超室 B-Ultrasound
古建筑	Historical Building
保管部	Storage Department
古旧图书	Antique Books
工程项目交易部	Construction Project Trading
南区急救分中心	South District First Aid Branch
家居	Home Furnishing
外科（普通）分诊台	Reception
工业旅游	Industrial Tourism
不得损坏公共厕所各种设施。	Use public facility with care.
心理治疗国际交流中心	Psychotherapy International Exchange Center
公共厕所前进	100 米 Toilets 100 Metres Ahead
卢慕贞故居	Former Residence of Lu Muzhen
机场	Airport
参军处	Military Advisor’s Office
硬币兑换处	Coin Change Kiosk
自行车租赁处	Bicycle Rental Service
基本陈列	Basic Display
病区药房	Inpatient Pharmacy/Inpatient Dispensary
分子遗传室	Molecular Genetics Lab
收藏	Collection
胎心监护室	Fetal Heart Rate Monitoring
矫形骨科专家门诊	Orthopaedic Specialist Clinic
（火灾）报警按钮	Fire Alarm Button
vcd	专区 VCDs
请不要将杂物抛入珠江，多谢合作	No Littering in the Pearl River
小儿骨科门诊	Pediatric Orthopaedic Clinic
数码工作室	Digital Studio
营养科	Department of Nutrition
干果	Dry Fruits/Nuts
储藏室	Storeroom
塑料	Plastics
茶台	Bar
会议室	Meeting Room/Conference Room
无障碍通道	Wheelchair Accessible
资料室	Data & File
高场	MRI High-Field MRI
服务中心	Service Center
内衣	Underwear
土地矿产交易部	Land & Mining Right Bidding
运营线路	Service Routes
调解室	Mediation Room
技术代表室	Technical Delegates
索道	Cableway
残疾人座位	Disabled Seats
腰穿室	Lumbar Puncture
请上楼参观	Please go upstairs for tour
挂号处/门诊挂号处	Registration
卖场部	Sales Dept.
中大码头	Sun Yat-sen University Wharf
体检部	Physical Examination
三防物资专用柜	Equipment Cabinet Against Nuclear, Biological & Chemical Weapon Attacks
展示	Exhibition
滑水	Surfing
眼震电图室	ENG
控制室	Control Center
社会车辆出口	Public Vehicles Exit
气管镜室	Bronchoscopy
广佛公路	Guangzhou-Foshan Highway
耳鼻喉科电测听室	Pure Tone Audiometry
治安室（派出所）	Police Office/Police Station
胸外科	Thoracic Surgery
航班及票价信息	Ticketing Information
女性泌尿外科	Female Urological Surgery
新生儿外科门诊	Neonatal Surgery Clinic
衬衫女裤	Women’s Pants & Blouses
小型车停车场	Light-duty Vehicles Parking
一楼售票厅	F1 Ticket Office
一楼乘车区	F1 Boarding Area
湖心岛	Mid-lake Island
视力筛查室	Optical Screening
骨科整复室	Orthopaedic Rehabilitation
值班室	Duty Room
机舱逃生口	Escape Hatch
一区、二区、三区	Zone 1, Zone 2, Zone 3
设计	Design
打印复印室	Copying Room
外科换药室/换药室/敷料间	Dressing Room
副部长室	Office of Deputy Head of Department
紧急时请敲击	Break Glass in Case of Emergency
进入景区	禁止吸烟 No Smoking in Scenic Area
患者入口	Patient Entrance
综合培训室	Training Room
收费标准、服务承诺	Payment Standards/Service Commitment
采摘区	Fruit-Picking Area
陈列部	Exhibition Department
干鲜果品	Dry and Fresh Fruits
一楼旅客入口	F1 Passenger Entrance
神经组阅片室	Neuroradiology
围产检测室	Perinatal Testing
肝病合并糖尿病诊室	Hepatopathy & Diabetes Mellitus Consultation
食品	Food
浴盐	Bath Salt
展厅入口	Entrance
心理健康咨询	Mental Health Counseling
电影动画	Animated Films
离心机室	Centrifuge
专家等候区	Expert Waiting Room
千足金摆件	99.9% Gold Ornaments
珠宝饰品	Jewelry & Accessories
绘画展览	Painting Exhibition
住宿区	Accommodation
申请人	Applicant
暗室	Dark Room
药物咨询	Medication Inquiry
咨询室	Counseling Room
滑沙	Sand Skiing
主廊	Main Corridor
家电、厨具采购部	Household Appliances & Kitchenware Purchase
候车室	Waiting Room
导览设施	Tour Guide Facilities
公共停车场	Public Parking
钻石项坠	Diamond Pendant
主席台	Rostrum
有毒物质	Toxic Substances
面包	Bread
美术培训室	Fine Arts Learning
新城站	New Town
新刊推荐	Recommendation for New Journals
免费停车场	Free Parking
羊绒羊毛	Cashmere & Wool
血液净化中心	Blood Purification Center
收费停车场	Paid Parking
信息科/信息办公室	Information Center/Information Office
自助服务区	Self-service
刷卡	Scan Card
大事年表	Chronology
更衣室	Locker Room
储物柜	Locker
微信支付	WeChat Pay
珠宝眼镜	Jewelry & Glasses
妇科彩超室	Gynecology Color Ultrasonography
运营保障部	Business Supporting
百货精品	Quality Goods
新城	New Town
方便食品	Instant Food
儿科肠道门诊	Pediatric Intestinal Diseases Clinic
剧毒物品	Poisonous Articles
工疗厅	Work Therapy Hall
vip	区域 VIP
儿科门诊	Pediatric Clinic
千足金戒指	99.9% Gold Ring
地下一层停车场	B1 Parking
期刊销售	Journals
婴幼儿保健咨询	Infant Healthcare Counseling
车站	Intercity Bus Terminal
景点	Scenic Spot
玻璃	Glass
医疗保险管理办公室	Medical Insurance Management
出院手续	Discharge
地铁站	Metro
艺术培训中心	Arts Training Center
记者采访区	Press Area
麻疹门诊	Measles Clinic
由此上二三楼	To F2 & F3
渡船	Ferry
登山攀岩	Mountaineering/Rock-Climbing
睡眠监测室	Sleep Monitoring
注意落叶	请勿逗留 Caution: Falling Leaves!
专业店	Specialty Store
肌肉功能检测室	Muscle Function Testing
教材及辅导资料	Textbooks & Supplementary Readings
票务室/售票处/售票口	Tickets
耳鼻咽喉科	E.N.T.
饮料罐头	Canned Beverages & Food
外交	International Relations
材料	Material Science
二楼候车厅	F2 Waiting Room
小额项目交易部	Small Projects Trading
手机维修	Cellphone Repairs
口腔颂面外科	Oral & Maxillofacial Surgery
引种场停车场	Parking of Seed Germination Farm
博物馆	Museum
经济	Economics
儿童体格生长门诊	Child Physical Growth Clinic
塔	Pagoda
急救分中心	First Aid Branch
病案整理室/病案管理办公室	Medical Records Preparation Room/Medical Records Management Office
潜水	Diving
旅客进站口	Passenger Entrance
珠江游	Pearl River Cruise
自动售票机	Ticket Vending Machine (TVM)
多导睡眠检测室	PSG Testing
古墓葬	Ancient Tomb
固定陈列	Permanent Exhibition/Permanent Display
血气室	Blood Gas Lab
避车道	Layby
加湿净化器	Humidifier
定量感觉室	QS Disorder Treatment
集控室	Central Control Room
弱电机房	Low Voltage Room
出租车调度站	Taxi Dispatch Station/Taxi Service
啤酒	Beer
桥	Bridge
火车站	Railway Station
森林公园	Forest Park
多功能厅	Multifunction Room
基础科学	Basic Science
产房	Delivery Room
托运	Consignment
内科诊区	Internal Medicine Consultation Area
动手项目/动手操作	Hands-On Activities
影视	Movies
肌电图室	EMG
烧伤病房	Burn Ward
汽车租赁营业门店	Car Rental Service
临床输血服务部	Clinical Transfusion Services
/自动提款机/自动取款机	
定额客位	500 人 Passenger Capacity: 500
山路陡滑	注意安全 Steep, Slippery! Watch Your Step!
丝织品	Silk
副调研员办公室	Associate Consultant’s Office
精神康复科	Psychiatric Rehabilitation
旁听席	Public Gallery
拔出插栓	取救生衣 Pull Out Plug and Take Life Jacket
模拟定位机治疗室	Simulated Positioner Treatment
临床心理科	Clinical Psychology
广州火车站/广州站	Guangzhou Railway Station
心理测查中心	Psychological Examination Center
孕妇营养定量检测	Gravida Nutrition Quantitative Detection
广场	Square
女子美容坊（生活馆、工作室）	Ladies’ Beauty Shop (Lounge & Studio)
残疾人客房	Accessible Guestroom
东区	East Zone
急诊手术室	A & E Operating
古迹	Historical Site
智力测查室	Intelligence Testing
外部车辆请勿进入	Registered Vehicles Only
剧场南门	South Gate
游山游水游天下	爱国爱家爱自然 Enjoy Landscape; Love Nature
影像尿流动力学检查室	Dynamic Urinary Flow Imaging Examination
女厕所	Ladies/Women
饮水净水器	Water Filter
新生儿随访门诊	Newborn Follow-Up Clinic
检票	Ticket Check
石刻	Stone Inscriptions（文字）/Stone Carving（非文字）
心理咨询室	Psychological Counseling
电机	Electrical Appliances
统计	Statistics
急诊重症监护室	Emergency ICU
广播席	Radio Commentators
绿道入口	Green Trail Entrance
电脑类	Computer
机械	Mechanics
濒危珍稀植物园	Rare and Endangered Botanical Garden
临时展览	Special Exhibition
电泳室	Electrophoresis Lab
游戏娱乐	Gaming & Entertainment
终产品质控组	Final Products QC Group
步行进站	Pedestrian Entrance
客服班	Customer Service
人力资源部	Human Resources
放射防护	Radiation Protection
核医学科	Nuclear Medicine
眼科暗室	Ophthalmic Dark Room
神经内科	Neurology
消毒与有害生物防治所	Institute for Disinfection & Vector Control
天河城广场	Teem Plaza
传记纪实	Biographies & Non-fiction Literature
查体室	Physical Examination
影碟机	DVD Player
即将开场售票处	Ticket Office for Movie Ready to Show
保护森林	依法治火
湿地公园	Wetland Park
超市连锁采购部	Chain Supermarket’s Purchase Dept.
骨科门诊	Orthopaedic Clinic
海珠区万国广场	Wanguo Plaza in Haizhu District
通讯器材	Communication Hardware
内科	Internal Medicine Dept./Internal Medicine
大元帅府码头	Generalissimo Sun Yat-sen’s Mansion Wharf
临床药学室	Clinical Pharmaceutics
急救科	Emergency Medical Dept.
心电图室	ECG
胃电图室	EGG
咪表	Parking Meter
导播室	Studio
计时控制室	Timing Control Room
人行道	Pedestrian Walkway
值班站长室	Duty Office
皮肤科专家门诊	Dermatology Specialist Clinic
火车北站	North Railway Station
诊室	1 Consultation Room 1
介入放射科	Interventional Radiography
运动员席	Athletes
转弯慢行	Slow Down! Bend Ahead
东厢	East Box
可燃垃圾	Combustible
药库	Drug Storage
瓶罐	Bottle & Can
会计司、庶务司	Accounting Office; General Office
实用类	Practicals
珠海市体育中心	Zhuhai Sports Center
药店	Pharmacy
楼梯（步行梯）	Staircase/Stairway
园广场	Park Square
科普教育	Popular Science Education
卫生用品	Hygiene Products
民族特色街	Local Ethnic Culture Street
产前宣教室	Prenatal Education
哮喘门诊	Asthma Clinic
妇女保健科	Women’s Health Care
运动员休息室	Athletes’ Lounge
称重区	Weighing Area
卫队长室	Captain of Guard’s Room
残疾人牵引车（升降平台）	Wheelchair Lift
青铜器展览	Bronzeware Exhibition
特色餐饮	Food Specialties
上落小心	Watch Your Step
大型购物中心	Shopping Mall
超声心动室	UCG
肠道传染病诊室	Enteric Infection Consultation
取号机	Please Take A Number
法学	Law
步行出站	Pedestrian Exit
请带齐您的随身物品	Please Take All Your Belongings with You
栈道	Plank Path
特色餐馆	Specialty Restaurant
公用电话	Public Telephone
肿瘤病房	Oncology Ward
门诊药房	Outpatient Pharmacy/Outpatient Dispensary
舞蹈治疗室	Dance Therapy
请勿携带托运易燃及易爆物品	Inflammable & Explosive Goods Prohibited
健康教育教室	Health Knowledge Classroom
变态反应诊室	Allergic Reaction Diagnosis
配镜区	Fitting & Prescription
外科石膏室	Surgery Plaster
观众留言簿	Complaints & Suggestions
东台	East Platform
自习室	Study Room
已喷农药，请勿靠近	Area Treated with Pesticide! Please Keep Away
配电柜	Power Distribution Cabinet
草原	Grassland
痹症科	Rheumatology
解说词	Explanation
海幢码头	Haizhuang Wharf
美术	Fine Arts
林业	Forestry
孙中山办公室	Office of Provisional President Sun Yat-sen
文化馆	Cultural Center
妇儿中心站	Women and Children’s Medical Center
广播室/演播室/播音室	Broadcasting Room
二楼双号侧区	Balcony Even Numbers
泌尿外科	Urology Surgery
中医紫癣门诊	TCM Purple Tinea Clinic
卫生监督执法队	Public Sanitation Inspection & Law Enforcement Team
婴儿用品	Baby Care Products
箱包皮具	Suitcases & Leatherware
闭馆整修	Closed for Renovation
小儿血液病中心	Pediatric Hemotology Center
评标专家抽取室	Bidding Expert Selection
售票厅	Ticket Hall/Ticket Office/Tickets
血库（面对医院发血）	Blood Bank (Distribution for Hospitals)
水疗室	Hydrotherapy
贵宾室	VIP
金银币章	Gold and Silver Coins & Badges
停车时限	Parking Time Limit
西区	West Zone
后勤区域	游客止步 Staff Only
仪器分析室	Instrumental Analysis Lab
妇科肿瘤门诊	Gynecological Oncology Clinic
疼痛门诊	Pain Clinic
肝炎科	Hepatitis
研究部	Research Department
专用车位	Reserved Parking
古树名木	Ancient Trees
三楼候车厅	F3 Waiting Room
路面清洗，小心地滑	Caution: Wet Floor
旅游运动鞋	Sneakers/Athletic Shoes
问询处/咨询台	Information
双号	Even Number
献血咨询登记处	Donation Counseling & Registration
运动用品/体育用品/体育器材	Sports Equipment
财务	Accounting
番禺市汽车客运站	Panyu Intercity Bus Terminal
一楼定额	人 Passenger Capacity on F1: xxx
新洲码头	Xingzhou Wharf
大型水滑梯/大型戏水滑道	Water Slides
多媒体教室	Multi-media
科普读物	Popular Science
献血后休息区	Donors Rest Area
禁止外出	No Exit
语言训练室	Speech Training
调味系列	Condiments & Seasonings
社教部	Public Education Department
租赁车	Car Rental Service
学生团体观众	Student Group
办证处	Library Card Application
蜡疗室	Wax Therapy
环境卫生所	Institute of Environmental Health
五指山门岗	Wuzhi Mountains Gate Guard
作业疗法室	OT
眼动检查室	Eye Tracking Examination
护肤用品	Skin Care Products
运营区/场馆工作区	BOH (Back of House)
计划财务部	Financial & Planning
evd	影片 EVD Films
糖果茶叶	Tea & Sweets
禁止通行	No Entry
购物筐	Shopping Basket
男淋浴室	Men’s Showers
手外科病房	Hand Surgery Ward
拓片	Rubbings
结核病门诊	Tuberculosis Clinic
贵宾办公室	VIP Office
居室/家居用品	Furniture & Household Items
棉麻制品	Cotton & Linen
半污染区	Semi-Contaminated Zone
老年病科	Geriatrics
免疫预防接种	Vaccination & Immunoprophylaxis
健康体检大厅	Physical Examination Hall
场地器材室	Venue Equipment Room
蓝宝石饰品	Sapphire Accessories
生殖医学中心	Reproductive Medicine Center
取阅架	Shelf Material
壁式消防栓	Wall-mounted Fire Hydrant
残障顾客专用坡道	Wheelchair Ramp
发掘	Excavation
视听测检室	Audio-Visual Testing
粮油禽蛋	Rice, Cooking Oil & Eggs
腊肉酱菜	Preserved Meat & Pickled Vegetables
工商类	Business
运动系列	Sports Series
生物反馈室	Biofeedback
院总值班室	Chief Duty Room
安全稽查部	Security Inspection Department
视野检查室	Perimetry Examination
停车车位	Parking Space
请自觉接受安检	Please Wait for Security Check
观景长廊站点	Sightseeing Gallery Station
泥沙浴	Mud and Sand Bathing
发型工作室	Hair Salon
院长办公室	President of Commission
精品区	Designer Frames
公路	Highway
预防门诊	Prevention Clinic
一立交	1 Interchange
保险柜	Home Safe & Security Boxes
西厢	West Box
电话/电脑预约窗口	Phone/Online Reservations
普通团体观众	Group Visitors
纸制文物	Paper-made Culture Heritage
眼科	A/B 超室检查室 A/B-Ultrasound
钻石耳钉	Diamond Ear Studs
疫情检查站	Quarantine Inspection
候诊观察室	Waiting & Observation
（员工）内部停车场	Staff Parking
仓库	Warehouse
康复中心办公室	Rehabilitation Center Office
中医皮肤科	TCM Dermatology
试表处	Thermometer Taking/Temperature Taking
营养食堂	Nutritious Diet Canteen
客户服务中心	Customer Service Center
游览观光车	Sightseeing Bus
北京路千年古道遗址	Ancient Site of the Beijing Lu
禁止攀爬	No Climbing
外科监护室	SICU
广州市文物总店	Guangzhou Municipal General Store of Cultural and Historical Artifacts
运动员专用通道	Athletes Only
第五仲裁庭	The 5th Court of Arbitration
泳装	Swimwear
宠物用品	Pet Supplies
西台	West Platform
锅炉房/开水间	Boiler House/Boiler Room
诗歌	Poetry
敬告乘客	Notice
机舱监控室	Monitoring Room
特价服装	Discount Clothes
花园	Garden
老年口腔病科	Geriatric Dentistry
身心医学	Psychosomatic Medicine
会展码头	Pazhou International Exhibition Centre Wharf
童袜	Children’s Socks
游客中心	Tourist Center
一街	1 Jie
女子舍宾	Women Shaping
综合组	General Service Group
呼吸睡眠障碍门诊	Respiratory & Sleep Disorder Clinic
超声胃镜检查室	EUS Exam
食府（风味食府）	Restaurant (Local Food)
献血电话咨询	Blood Donation Hotline
茶园	Tea Garden
营销策划	Marketing
停车自动收费系统	Auto Fare Collection (AFC) Parking System
紧急医疗救援指挥中心	Emergency Medical Rescue Command Center
男式手包	Men’s Bags
小儿骨科病房	Pediatric Orthopaedic Ward
口腔科消毒室	Disinfection
盆景园	Potted Landscape Garden
创伤骨科门诊	Traumatic Orthopaedic Clinic
细胞遗传室	Cytogenetics Lab
中老年女装	Senior Women’s Clothing
微型消防站	Fire Station
可回收物	Recyclable
小儿妇科门诊	Pediatrics & Gynecology Clinic
专卖店	Brand Name Store
快件提取处	Baggage Claim
小型车专用出口	Car Exit
轮椅租用处	Wheelchair Rental
会员自动售票机	Ticket Vending Machine (Members Only)
大型超市	Shopping Mall
禁止跨越	No Crossing
环保节能应用	Environmental Protection and Energy Efficiency Application
银饰品	Silver Accessories
前区	Front Section
专家门诊时间一览表	Specialist Clinic Schedule
钻石	Diamond
风景名胜区	Scenic Spot
医院	Hospital
可堆肥垃圾	Compostable
应急停车带	Emergency Pull-off Area
乘车须知	Passenger Notice
商务中心	Business Center
电视购物	TV Shopping
男士皮鞋	Men’s Leather Shoes
存包处	Baggage Locker
中药制剂室	TCM Preparation
本周排行	Weekly Best Sellers
男体检室	Physical Examination (Men)
天鹅湾	Swan Bay
中区	Central Section
接待室	Reception
汽车整车维修企业	Complete Vehicle Maintenance & Repair Services
景区	Scenic Area
捏积室	Kneading & Massage
记者休息室	Media Lounge
科研教育办公室	Research & Education
手外科专家门诊	Hand Surgery Specialist Clinic
当心落水	Do Not Fall Into Water
公共卫生监督科	Public Sanitation Oversight Section
电脑耗材	Computer Consumables
应急执法指挥中心	Emergency Law Enforcement Command Center
视频脑电室	Video-EEG
铜壶滴漏	Canton Clepsydra (Water Clock)
亚健康保健中心	Subhealth Healthcare Center
视觉电生理检查室	Optical EPS Examination
书记员	Clerk
美容院（城）	Beauty Salon
环境	Environmental Science
消防疏散示意图	Fire Evacuation Map
普通观众	General Visitors
执法二队	Law Enforcement Team 2
公园管理处	Park Administration
不可移动文物	Immovable Cultural Heritage
激光美容科	Laser Cosmetology
商场	Shopping Center
航空、航天	Aeronautics & Astronautics
骨按科	Bone Massage
平安桥	Ping’An Bridge
急救网络管理科	Networked First Aid Management
肿瘤放疗室	Oncology Radiotherapy
检验室	Testing Room
客舱	Cabin
无线电报室与电话室	Wireless Telegraph Room & Phone Room
无抽治疗室	Non-convulsive ECT Therapy
财务处/科	Finance
南区	South Zone
围产医学科	Perinatology
风湿科	Rheumatology
专家门诊	Specialist Clinic
数字特技	Digital Special Effects
广铁建设工程招标办	Bidding Office of Guangzhou Metro
中央展厅	Central Exhibition Hall
客房	Guest Room
免疫病理室	Immune-Pathological Lab
监控区域	CCTV In Operation
站	
郊游野游	Outing
白云山滑索中转站	Interchange of Baiyunshan Zipline
出站（口）	EXIT
其他工程	Other Engineering
婴儿检查室	Infant Examination
腮腺炎门诊	Mumps Clinic
地下二层停车场	B2 Parking
美食花街	Gourmet & Flowers Street
全家福摄影室	Family Portrait Photograph Studio
注意上下走桥易滑	Mind Your Step on Pontoon
儿童心理测查室	Child Psychology Counseling
儿童外借部	Book Borrowing for Children
秘书处	Secretariat
公共检索	Catalog Search
拓展区	Outdoor Exercise Area
植物园	Botanical Garden
自动直梯	Elevator/Lift
意见箱/意见簿	Suggestions & Complaints
非常紧急手柄	Emergency Handle
健身	Bodybuilding/Fitness
鸟径别墅	Bird Trail Villa
航线牌	Destination Sign
缴纳费用	Please Pay Here
植物	Botany
儿科急诊	Pediatric Emergency
胃肠室	Gastrointestinal Examination
孙中山卧室	Sun Yat-sen’s Bedroom
服务公约	Public Service Pledge
购物中心	Shopping Center
废物箱/垃圾箱	Trash
剧场东门	East Gate
请勿攀爬（坐）防护栏	No Climbing or Sitting on or over Railings
“花城花开”	Guangzhou Cultural Show
货币兑换	Currency Exchange
终点	Terminal Point
肥胖门诊	Obesity Clinic
受理	Acceptance
现场抢救区	Onsite Care
高血压门诊	Hypertension Clinic
动物园	Zoo
肿瘤外科门诊	Surgical Oncology Clinic
游船	Sightseeing Boat
珠宝钟镜	Jewelry, Clocks & Mirrors
登船	Boarding
公共厕所使用守则	Toilet Rules
网格划分简介	Grid Management System Introduction
手外科门诊	Hand Surgery Clinic
儿童筛查室	Child Screening
地下三层停车场	B3 Parking
调度室	Control Center
化学	Chemistry
层流室	Laminar Flow Room
服务监督电话	Service Complaints Hotline
不锈钢制品	Stainless Steel Products
民间工艺	Folk Arts & Crafts
书法	Calligraphy
工农业旅游示范点	Industrial and Agricultural Tourism Demonstration Site
药械科	Drug & Equipment Section
第	X 通道 Passage X
副书记办公室	Deputy Party Secretary
熟食	Cooked Food
美容美体中心（养生馆、俱乐部）	Beauty & Body Care (Health Club)
儿童口腔病科	Pediatric Dentistry
裤装、鞋区	Pants & Shoes
健康教育所	Institute of Health Education
黄埔军校码头	Whampoa Military Academy Wharf
水上漂流	Water Rafting
女淋浴室	Women’s Showers
医疗急救通道	Emergency Access
站台/公交车站台	Bus Station
特产	Specialties
音乐培训室	Music Learning
内科候诊区	Internal Medicine Waiting Area
哺乳室	Nursing Room
东门	East Gate
馆藏文物	Museum Collection
单号	Odd Number
性医学性心理诊室	Sexual Medicine & Psychology Consultation
猩红热门诊	Scarlet Fever Clinic
办理住院	Admission
疫苗室	Vaccination
会展中心码头	Exhibition Center Wharf
安检区域	Security Checkpoint
服务总台	Service Center
血液常规化验室	Routine Blood Test Lab
肛肠诊室	Anorectal Consultation
胸外科门诊	Thoracic Surgery Clinic
场馆部办公室	Venue Office
有害垃圾	Hazardous Waste
工艺品	Arts & Crafts
火情警报设施	Fire Alarm
休闲区	Leisure Area
血清库	Serum Bank
月牙湖登山道	Crescent Moon Lake Path
预防保健中心	Health Protection Center
雕塑/雕塑作品	Sculpture & Work of Art
第三仲裁庭	The 3rd Court of Arbitration
客服员	Customer Service Officer
口腔科	DR 摄片室 DR Radiography
货运堆场	Freight Yard
